Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1901,8.730337337,80.44140887,0.12243849,0,0.482330918,3.672059834,140.9314625,191.3122881,67.90593609,220.7550386,311.0039285,327.4747889,1352.832018
1902,6.882660896,0.198962539,0,0.216179609,2.029170752,14.06777954,64.90601453,116.0236653,116.6673321,538.4935695,328.385771,187.440381,1375.311487
1903,51.7995121,17.79074502,0,0,111.4186717,28.24784853,84.06312214,124.4900611,228.6100411,273.4104228,454.9081938,366.4027793,1741.141398
1904,64.47611032,0,0,0.105535083,26.25877666,26.9546482,92.56578526,33.57822543,96.0975578,67.90465569,9.128418863,62.96590626,480.0356196
1905,39.38981056,5.518976808,13.63789988,20.25132227,0.229572162,49.7186987,47.08959746,87.60089952,68.93193661,535.7662171,231.5642917,16.08765846,1115.786881
1906,177.2544588,16.3834517,3.333892107,0,0,20.85782388,76.46174341,126.1705191,114.0726292,108.0910681,182.2283739,448.9187532,1273.772713
1907,2.824379861,0,2.585609674,17.07402112,1.912823439,35.87455651,54.45803118,52.96644682,69.34075871,246.0561884,325.4281829,146.0544385,954.5754371
1908,0,12.53430295,9.381748199,0,1.797525525,16.14621203,52.38034669,139.2550318,158.7479188,517.537024,324.3024691,32.39146036,1264.474039
1909,102.5557476,0.198962539,0,49.52723736,175.355718,25.90960081,81.0180974,151.2258175,244.0339812,24.16850543,71.36639175,9.539033622,934.8990932
1910,1.033818424,1.396555543,0,0.153048113,0,32.75024715,97.22066334,131.8069842,132.9225421,285.7098005,398.9637185,0.198962539,1082.15634
1911,0.837933242,0,0,0.197878286,0.607737303,31.26322219,40.24078369,51.47008769,173.9326475,129.6463535,263.8035975,135.5276791,827.52792
1912,35.39351177,0,0,0,0,17.66324294,82.4413366,135.9142824,66.36513859,370.3812864,487.0359992,5.906262398,1201.10106
1913,0,1.621665716,0,18.37729359,41.08050931,2.207454085,40.3655068,18.75059582,141.4043094,760.954949,323.3428636,222.9316461,1571.036793
1914,20.23765516,0,0,40.943115,5.90094769,51.64889315,54.11102864,174.5323059,145.4217457,484.5419806,199.6956715,28.29643673,1205.32978
1915,167.6683111,7.286805838,9.861066282,3.436040401,5.501557469,25.64357644,183.2010696,40.0497188,122.9233245,73.48097166,677.66432,8.764160484,1325.480923
1916,0.525462911,0,0,0,0,67.44521901,60.94878513,109.9686481,63.31931232,417.9887221,396.9256797,74.3586283,1191.480458
1917,2.960882723,0.244876981,0,0,39.57516515,126.3472271,87.62938245,175.7794997,116.1087015,442.7228034,319.5971318,193.4762676,1504.441938
1918,214.216532,35.21286011,5.929550827,0,110.4828285,33.86625646,10.54950601,71.35774569,73.42286715,8.379506171,876.1635208,136.4558498,1576.037024
1919,6.374917954,0,23.55404949,0,8.070126712,80.4630492,130.8317763,65.95176335,143.3659757,260.9924131,320.4391476,146.3244524,1186.367672
1920,203.4983409,0,0,1.370918751,8.722384989,31.55625629,55.18569604,35.78296199,56.69799843,553.6607694,716.254215,0,1662.729542
1921,113.8394967,0,0,37.96763074,0,19.82973176,194.8064894,228.3247334,140.2754591,795.2041459,189.1556892,43.11338776,1762.516764
1922,92.68091154,0,0,0,13.4785676,94.4129692,55.59719256,94.01729979,37.89727511,442.2826291,707.3469625,7.807343364,1545.521151
1923,107.710868,3.770699859,30.65223885,0,4.016401768,18.05156079,65.73723291,58.9060742,77.51574448,360.3268944,98.94501019,60.5221252,886.1548506
1924,28.95538962,0,1.203336537,0,0,65.19059993,111.7385075,42.9226262,165.1881828,98.02373406,459.6739751,12.34158108,985.2379328
1925,19.017838,0,48.59659865,2.573106766,102.9269855,7.929812998,87.01280752,154.4134851,31.96198863,398.0896513,394.4441991,349.6050104,1596.571484
1926,51.35923755,0,2.97931838,13.37425917,2.310748577,11.25774169,114.4639355,111.6724977,54.36675431,178.3279961,243.6991273,49.86603013,833.6776464
1927,14.99940342,0.449126214,0,1.120179027,13.73160744,63.44691114,44.27361378,97.73098117,91.7425911,97.61916718,376.3351097,59.02632612,860.4750163
1928,21.27296829,12.03033209,33.24843168,2.545768499,1.903343081,23.53339356,86.46993691,126.5643042,124.6690282,357.1982529,107.0157688,94.69327468,991.1448029
1929,55.28376627,72.59698546,3.490751028,23.22312117,11.84239626,53.26906981,63.6225546,85.69018568,190.6552763,180.7824183,361.0302078,142.5652688,1244.052001
1930,55.37186289,61.6058034,0,0,143.2883416,48.90830231,50.38887145,139.7991404,92.40575421,676.1618327,532.8771031,96.39543965,1897.202452
1931,3.025232792,0,0,22.30347425,33.95655984,66.62003508,107.1813761,89.71882546,112.2982066,379.9527685,435.0266985,209.7794969,1459.862674
1932,0,39.28043079,0,24.73436487,30.43616331,35.34603365,23.20583393,58.35004346,96.83288693,338.3513659,361.4546723,64.15162869,1072.143424
1933,0.232759237,0,45.16032261,10.83444715,0.153048113,37.24688427,66.1249781,102.2610691,41.20034602,285.1908176,154.8168393,426.3529083,1169.57442
1934,65.33999586,0,0,3.497925133,0,54.04560678,59.93373393,134.1074972,69.85552755,523.4904268,89.66734156,57.40842474,1057.34648
1935,26.25691652,0,0,0,0,28.91652602,58.21835189,207.1843163,102.2579771,400.9949815,208.2413223,36.35478783,1068.425179
1936,1.485341191,79.7760244,15.98344751,13.08785152,3.894414902,109.7337518,133.2527145,100.0905961,83.40280899,211.7146814,404.3375281,55.59957969,1212.35874
1937,0.724612832,0.465518475,0,84.66723949,0,29.28962338,159.4839361,103.3425925,127.6474133,239.6750696,740.3372116,92.90286875,1578.536086
1938,1.303451777,9.904300034,25.97258568,0,18.00171757,77.49711464,45.97942616,45.89450279,185.4421896,219.1843903,7.616678476,25.84696841,662.6433254
1939,16.23602816,0,14.05047005,146.5052705,0.24951458,30.23204587,57.78635433,35.42518291,150.6147655,224.3892415,388.2831796,16.69689637,1080.468949
1940,1.570171356,0,0.382620275,6.406954527,163.7856967,45.3020395,50.73471971,81.82051514,82.35102034,231.1904305,635.6893993,141.3739689,1440.607536
1941,6.806702346,0.528188258,0,2.261028647,0,98.89921439,48.73730628,49.89541024,195.5467741,316.8386714,680.3392042,285.4876997,1685.3402
1942,0.698277771,0.198962539,0,21.84674314,0,69.0555734,37.91383342,115.8764019,46.21556793,76.28919721,131.2280204,338.563748,837.8863257
1943,55.53273559,5.576578617,0,26.9667061,253.7185699,50.38859154,74.57696176,128.1602229,72.01172534,632.1060573,277.8081384,88.93993211,1665.78622
1944,5.596146494,31.23213667,169.9501963,0.61791265,0,65.03727858,132.8729895,58.95237476,59.35694161,415.8661981,639.6400883,196.546746,1775.669009
1945,10.22223759,0,0.397333562,99.18983078,0,17.58728082,118.4934493,80.08005847,125.9327553,112.3194071,495.6999623,5.956143484,1065.878459
1946,26.1439696,0,32.11306238,0.785565913,39.33339882,86.00607497,60.63310434,98.90425536,129.0169504,264.4738071,609.2791699,1060.460103,2407.149462
